symbol,company_name,company_logo,website,nse_url,bse_url,face_value,book_value,about_company,sector_name,sector_id
ABB,Abbott India Ltd,https://mkt.in/static/mkt-icons/nifty100/ABB.png,https://www.abbott.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=ABBOTINDIA,https://www.bseindia.com/stock-share-price/abbott-india-ltd/ABBOTINDIA/500488/,10.0,1657.0,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.,Consumer Goods,4
ADANIENSOL,Adani Energy Solutions Ltd,"https://m.economictimes.com/thumb/msid-117371599,width-1200,height-900,resizemode-4,imgsize-5642/the-growth-story-remains-intact-for-adani-energy-solutions-says-jefferies.jpg",https://www.adanienergysolutions.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIENSOL,https://www.bseindia.com/stock-share-price/adani-energy-solutions-ltd/ADANIENSOL/539254/,10.0,175.0,"AESL, part of the Adani portfolio, is a multidimensional organization with presence in various facets of the energy domain, namely power transmission, distribution, smart metering, and cooling solutions. AESL is India's largest private transmission company",Power,13
ADANIENT,Adani Enterprises Ltd,https://mkt.in/static/mkt-icons/nifty100/ADANIENT.png,https://www.adanienterprises.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIENT,https://www.bseindia.com/stock-share-price/adani-enterprises-ltd/adanient/512,1.0,363.0,"Adani Enterprises Ltd is an Indian multinational public company and a subsidiary of Adani Group. It is headquartered in Ahmedabad and has business interests in coal mining and trading, airport operations, edible oils, road, rail and water infrastructure, data centers, hydrocarbon exploration, defence and aerospace, multimodal logistics, and agro commodities.",Consumer Goods,4
ADANIGREEN,Adani Green Energy Ltd,https://mkt.in/static/mkt-icons/nifty100/ADANIGREEN.png,http://www.adanigreenenergy.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIGREEN,https://www.bseindia.com/stock-share-price/adani-green-energy-ltd/ADANIGREEN/541450/,10.0,67.0,"Adani Green Energy Limited, incorporated in 2015, is a holding company of several subsidiaries carrying business of renewable power generation within the group and is primarily involved in renewable power generation and other ancillary activities.",Energy,5
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,https://mkt.in/static/mkt-icons/nifty100/ADANIPORTS.png,http://www.adaniports.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIPORTS,https://www.bseindia.com/stock-share-price/adani-ports-special-economic-zone-ltd/ADANIPORTS/532921/,2.0,265.0,"Adani Ports & Special Economic Zone is in the business of development, operations and maintenance of port infrastructure (port services and related infrastructure development) and has linked multi product Special Economic Zone (SEZ) and related infrastructure contiguous to Port at Mundra.",Ports,12
ADANIPOWER,Adani Power Ltd,"https://mkt.in/static/mkt-icons/nifty100/ADANIPOWER.png
",http://www.adani.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIPOWER,https://www.bseindia.com/stock-share-price/adani-power-ltd/ADANIPOWER/533096/,10.0,145.0,"Adani Power (APL), a part of the diversified Adani Group, is the largest private thermal power producer in India. The co along with its subsidiaries sell power generated from these projects under a combination of long term Power Purchase Agreements, Short term PPA and on merchant basis",Power,13
AMBUJACEM,Ambuja Cements Ltd,https://mkt.in/static/mkt-icons/nifty100/AMBUJACEM.png,https://www.ambujacement.com/,https://www.nseindia.com/get-quotes/equity?symbol=AMBUJACEM,https://www.bseindia.com/stock-share-price/ambuja-cements-ltd/AMBUJACEM/500425/,2.0,205.0,"Ambuja Cements Ltd. is among the leading cement companies in India. It is a member of the Adani Group. Currently, Ambuja Cement has a cement capacity of 31 million tonnes with six integrated cement manufacturing plants",Cement,3
APOLLOHOSP,Apollo Hospitals Chain of Indian private hospitals,https://mkt.in/static/mkt-icons/nifty100/APOLLOHOSP.png,https://www.apollohospitals.com/,https://www.nseindia.com/get-quotes/equity?symbol=APOLLOHOSP,https://www.bseindia.com/stock-share-price/apollo-hospitals-enterprise-ltd/apollohosp/508869/,5.0,522.0,"Apollo Hospitals Enterprise Limited is an Indian multinational healthcare group headquartered in Chennai. It is the largest for-profit private hospital network in India, with a network of 71 owned and managed hospitals.",Healthcare,6
ASIANPAINT,Asian Paints Indian Multi-National Paint and Coating Manufacturing Company,https://mkt.in/static/mkt-icons/nifty100/ASIANPAINT.png,https://www.asianpaints.com/,https://www.nseindia.com/get-quotes/equity?symbol=ASIANPAINT,https://www.bseindia.com/stock-share-price/asian-paints-ltd/asianpaint/500820/,1.0,188.0,"Asian Paints Ltd is an Indian multinational paint company, headquartered in Mumbai. The company is engaged in the business of manufacturing, selling and distribution of paints, coatings, products related to home decor, bath fittings and providing related services.",Paint,11
ATGL,Adani Total Gas Ltd,https://mkt.in/static/mkt-icons/nifty100/ATGL.png,http://www.adanigas.com/,https://www.nseindia.com/get-quotes/equity?symbol=ATGL,https://www.bseindia.com/stock-share-price/adani-total-gas-ltd/ATGL/542066/,1.0,36.0,"AGL is engaged in City Gas Distribution (CGD) business and supplies natural gas to domestic, commercial, industrial and vehicle users.",Energy,5
AXISBANK,Axis Bank Ltd,https://mkt.in/static/mkt-icons/nifty100/AXISBANK.png,http://www.axisbank.com/,https://www.nseindia.com/get-quotes/equity?symbol=AXISBANK,https://www.bseindia.com/stock-share-price/axis-bank-ltd/AXISBANK/532215/,2.0,509.0,"Incorporated in December 1993, Axis Bank Limited is a private sector bank.It has the third-largest network of branches among private sector banks and an international presence through branches in DIFC (Dubai) and Singapore along with representative offices in Abu Dhabi, Sharjah, Dhaka and Dubai and an offshore banking unit in GIFT City.",Banking,2
BAJAJ-AUTO,Bajaj Auto Ltd,https://mkt.in/static/mkt-icons/nifty100/BAJAJ-AUTO.png,https://www.bajajauto.com/,https://www.nseindia.com/get-quotes/equity?symbol=BAJAJ-AUTO,https://www.bseindia.com/stock-share-price/bajaj-auto-ltd/BAJAJ-AUTO/532977/,10.0,1109.0,"Bajaj Auto, the flagship company of Bajaj Group, is a two-wheeler and three-wheeler manufacturing company that exports to 79 countries across several countries in Latin America, Southeast Asia, and many more. Its headquarter is in Pune, India.
It has acquired 48% of the KTM Brand which manufactures sports and super sports two-wheelers, which was 14% in 2007 when the company first acquired KTM. [1]

",Auto,1
BAJAJFINSV,Bajaj Finserv Ltd,https://mkt.in/static/mkt-icons/nifty100/BAJAJFINSV.png,https://www.bajajfinserv.in/,https://www.nseindia.com/get-quotes/equity?symbol=BAJAJFINSV,https://www.bseindia.com/stock-share-price/bajaj-finserv-ltd/bajajfinsv/532978/,1.0,428.0,"Bajaj Finserv Limited is an Indian non-banking financial services company headquartered in Pune. It is focused on lending, asset management, wealth management and insurance.",NBFC,10
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,https://mkt.in/static/mkt-icons/nifty100/BAJAJHLDNG.png,https://www.bhil.in/,https://www.nseindia.com/get-quotes/equity?symbol=BAJAJHLDNG,https://www.bseindia.com/stock-share-price/bajaj-holdings-investment-ltd/BAJAJHLDNG/500490/,10.0,5375.0,"Bajaj Holdings & Investment Ltd. operates as an Investment Company and is registered as a Non-Banking Financial Institution- Investment and Credit Company with the Reserve Bank of India. The Co. holds more than 36% stake in both Bajaj Auto Ltd. and Bajaj Finserv Ltd.

",Holding Company,7
BAJFINANCE,Bajaj Finance Ltd,https://mkt.in/static/mkt-icons/nifty100/BAJFINANCE.png,https://www.bajajfinserv.in/,https://www.nseindia.com/get-quotes/equity?symbol=BAJFINANCE,https://www.bseindia.com/stock-share-price/bajaj-finance-ltd/BAJFINANCE/500034/,2.0,1402.0,"Bajaj Finance is mainly engaged in the business of lending. BFL has a diversified lending portfolio across retail, SME and commercial customers with a significant presence in urban and rural India. It also accepts public and corporate deposits and offers variety of financial services products to its customers.",NBFC,10
